dataset,feature_setting,explainer,model,node_id,true_label,pred_label,pred_prob_illicit,wrapped_pred_label,wrapped_pred_prob_illicit,wrapped_matches_full_prediction,model_best_epoch,model_test_illicit_f1,ego_hops,num_ego_nodes,num_ego_edges,subgraphx_num_hops,subgraphx_num_child,subgraphx_num_rollouts,subgraphx_node_min,subgraphx_shapley_steps,num_explanation_nodes,num_explanation_edges,sparsity_nodes,sparsity_edges,explanation_local_nodes,explanation_original_nodes,explanation_original_edge_pairs
Elliptic,tx+agg,DGL_SubgraphX,graphsage,29912,0,0,0.9979548454284668,0,0.9971765279769897,True,819,0.8965109402720284,2,11,21,2,6,5,3,5,3,5,0.7272727272727273,0.7619047619047619,"[0, 1, 8]","[29911, 29912, 31028]","[[29911, 29912], [31028, 29912], [29911, 29911], [29912, 29912], [31028, 31028]]"
Elliptic,tx+agg,DGL_SubgraphX,graphsage,18323,0,0,0.978538453578949,0,0.9622443914413452,True,819,0.8965109402720284,2,6,11,2,6,5,3,5,2,3,0.6666666666666667,0.7272727272727273,"[4, 5]","[18322, 18323]","[[18322, 18323], [18322, 18322], [18323, 18323]]"
Elliptic,tx+agg,DGL_SubgraphX,graphsage,18903,0,0,0.9452780485153198,0,0.9417173266410828,True,819,0.8965109402720284,2,27,53,2,6,5,3,5,1,1,0.962962962962963,0.9811320754716981,[5],[19065],"[[19065, 19065]]"
Elliptic,tx+agg,DGL_SubgraphX,graphsage,19539,0,0,0.9240140318870544,0,0.9352827668190002,True,819,0.8965109402720284,2,21,41,2,6,5,3,5,1,1,0.9523809523809523,0.975609756097561,[5],[19784],"[[19784, 19784]]"
Elliptic,tx+agg,DGL_SubgraphX,graphsage,18018,0,0,0.6566475629806519,0,0.5598193407058716,True,819,0.8965109402720284,2,6,11,2,6,5,3,5,2,3,0.6666666666666667,0.7272727272727273,"[2, 5]","[18268, 18847]","[[18847, 18268], [18268, 18268], [18847, 18847]]"
Elliptic,tx+agg,DGL_SubgraphX,graphsage,24239,0,0,0.6114597320556641,0,0.635714590549469,True,819,0.8965109402720284,2,21,41,2,6,5,3,5,2,3,0.9047619047619048,0.926829268292683,"[0, 1]","[24226, 24227]","[[24226, 24227], [24226, 24226], [24227, 24227]]"
Elliptic,tx+agg,DGL_SubgraphX,graphsage,17047,0,0,0.6039035320281982,0,0.7367259860038757,True,819,0.8965109402720284,2,6,11,2,6,5,3,5,1,1,0.8333333333333334,0.9090909090909091,[3],[17047],"[[17047, 17047]]"
Elliptic,tx+agg,DGL_SubgraphX,graphsage,24361,0,0,0.6021302938461304,0,0.8536975383758545,True,819,0.8965109402720284,2,5,9,2,6,5,3,5,2,3,0.6,0.6666666666666667,"[2, 3]","[24361, 24554]","[[24554, 24361], [24361, 24361], [24554, 24554]]"
Elliptic,tx+agg,DGL_SubgraphX,graphsage,25447,0,0,0.5781386494636536,1,0.4591711461544037,False,819,0.8965109402720284,2,5,9,2,6,5,3,5,2,3,0.6,0.6666666666666667,"[0, 3]","[25446, 26105]","[[26105, 25446], [25446, 25446], [26105, 26105]]"
Elliptic,tx+agg,DGL_SubgraphX,graphsage,24318,0,0,0.557301938533783,0,0.6587067246437073,True,819,0.8965109402720284,2,7,13,2,6,5,3,5,3,5,0.5714285714285714,0.6153846153846154,"[0, 3, 4]","[24202, 24317, 24318]","[[24317, 24318], [24202, 24318], [24202, 24202], [24317, 24317], [24318, 24318]]"
