dataset,feature_setting,explainer,model,node_id,true_label,pred_label,pred_prob_illicit,wrapped_pred_label,wrapped_pred_prob_illicit,wrapped_matches_full_prediction,model_best_epoch,model_test_illicit_f1,ego_hops,num_ego_nodes,num_ego_edges,subgraphx_num_hops,subgraphx_num_child,subgraphx_num_rollouts,subgraphx_node_min,subgraphx_shapley_steps,num_explanation_nodes,num_explanation_edges,sparsity_nodes,sparsity_edges,explanation_local_nodes,explanation_original_nodes,explanation_original_edge_pairs
Elliptic,tx+agg,DGL_SubgraphX,gatv2,29912,0,0,0.9992693066596985,0,0.9992693066596985,True,624,0.9050925925925926,2,11,21,2,6,5,3,5,3,5,0.7272727272727273,0.7619047619047619,"[1, 3, 10]","[29912, 30063, 31170]","[[30063, 29912], [31170, 29912], [29912, 29912], [30063, 30063], [31170, 31170]]"
Elliptic,tx+agg,DGL_SubgraphX,gatv2,18903,0,0,0.9869310259819031,0,0.9869310259819031,True,624,0.9050925925925926,2,27,53,2,6,5,3,5,1,1,0.962962962962963,0.9811320754716981,[1],[18999],"[[18999, 18999]]"
Elliptic,tx+agg,DGL_SubgraphX,gatv2,19539,0,0,0.9799511432647705,0,0.9799511432647705,True,624,0.9050925925925926,2,21,41,2,6,5,3,5,1,1,0.9523809523809523,0.975609756097561,[4],[19727],"[[19727, 19727]]"
Elliptic,tx+agg,DGL_SubgraphX,gatv2,18018,0,0,0.9721353054046631,0,0.9721353054046631,True,624,0.9050925925925926,2,6,11,2,6,5,3,5,3,5,0.5,0.5454545454545454,"[1, 2, 3]","[18018, 18268, 18629]","[[18268, 18018], [18629, 18018], [18018, 18018], [18268, 18268], [18629, 18629]]"
Elliptic,tx+agg,DGL_SubgraphX,gatv2,21007,0,0,0.9611611366271973,0,0.9611611366271973,True,624,0.9050925925925926,2,4,7,2,6,5,3,5,3,5,0.25,0.2857142857142857,"[0, 2, 3]","[19530, 20068, 21007]","[[19530, 20068], [20068, 21007], [19530, 19530], [20068, 20068], [21007, 21007]]"
Elliptic,tx+agg,DGL_SubgraphX,gatv2,24361,0,0,0.9419565200805664,0,0.9419565200805664,True,624,0.9050925925925926,2,5,9,2,6,5,3,5,2,3,0.6,0.6666666666666667,"[2, 3]","[24361, 24554]","[[24554, 24361], [24361, 24361], [24554, 24554]]"
Elliptic,tx+agg,DGL_SubgraphX,gatv2,17047,0,0,0.9183738827705383,0,0.9183738827705383,True,624,0.9050925925925926,2,6,11,2,6,5,3,5,3,5,0.5,0.5454545454545454,"[0, 1, 3]","[16894, 16984, 17047]","[[16894, 17047], [16984, 16894], [16894, 16894], [16984, 16984], [17047, 17047]]"
Elliptic,tx+agg,DGL_SubgraphX,gatv2,24239,0,0,0.880243718624115,0,0.880243718624115,True,624,0.9050925925925926,2,21,41,2,6,5,3,5,3,5,0.8571428571428572,0.8780487804878049,"[2, 7, 16]","[24239, 24368, 24561]","[[24368, 24239], [24561, 24239], [24239, 24239], [24368, 24368], [24561, 24561]]"
Elliptic,tx+agg,DGL_SubgraphX,gatv2,18323,0,0,0.8514619469642639,0,0.8514619469642639,True,624,0.9050925925925926,2,6,11,2,6,5,3,5,3,5,0.5,0.5454545454545454,"[1, 4, 5]","[18019, 18322, 18323]","[[18019, 18323], [18322, 18323], [18019, 18019], [18322, 18322], [18323, 18323]]"
Elliptic,tx+agg,DGL_SubgraphX,gatv2,17494,0,0,0.8296353220939636,0,0.8296354413032532,True,624,0.9050925925925926,2,4,7,2,6,5,3,5,3,5,0.25,0.2857142857142857,"[0, 1, 2]","[17494, 17695, 17827]","[[17827, 17494], [17695, 17494], [17494, 17494], [17695, 17695], [17827, 17827]]"
