dataset,model,explainer,node_id,true_label,original_pred_label,original_prob_illicit,deletion_pred_label,deletion_prob_illicit,deletion_drop,deletion_label_flip,insertion_pred_label,insertion_prob_illicit,insertion_gap,insertion_preservation,num_explanation_edges,num_explanation_nodes,sparsity_top_k,edge_mask_mean,edge_mask_max,model_best_epoch,model_test_illicit_f1
Elliptic,gatv2,GNNExplainer,29912,0,0,0.9999167919158936,0,0.9999167919158936,0.0,0,0,0.9999167919158936,0.0,1,20,30,0.9994539100043688,5.914017674513161e-05,0.2208642959594726,482,0.8998242530755711
Elliptic,gatv2,GNNExplainer,20559,0,0,0.9890240430831909,0,0.9708645939826965,0.018159449100494385,0,0,0.9890240430831909,0.0,1,20,37,0.9994539100043688,2.0696046703960747e-05,0.757972002029419,482,0.8998242530755711
Elliptic,gatv2,GNNExplainer,33837,0,0,0.9883423447608948,0,0.9883423447608948,0.0,0,0,0.9883423447608948,0.0,1,20,37,0.9994539100043688,0.0,0.0,482,0.8998242530755711
Elliptic,gatv2,GNNExplainer,35734,0,0,0.9905431866645813,0,0.9905431866645813,0.0,0,0,0.9905431866645813,0.0,1,20,37,0.9994539100043688,0.0,0.0,482,0.8998242530755711
Elliptic,gatv2,GNNExplainer,34084,0,0,0.9896191954612732,0,0.990071177482605,-0.0004519820213317871,0,0,0.9896191954612732,0.0,1,20,37,0.9994539100043688,8.353477824130096e-06,0.3059377670288086,482,0.8998242530755711
Elliptic,gatv2,GNNExplainer,24533,0,0,0.9842259287834167,0,0.9842409491539001,-1.5020370483398438e-05,0,0,0.9842259287834167,0.0,1,20,36,0.9994539100043688,4.137886571697891e-05,0.7804223299026489,482,0.8998242530755711
Elliptic,gatv2,GNNExplainer,33899,0,0,0.9844127297401428,0,0.9844127297401428,0.0,0,0,0.9844127297401428,0.0,1,20,37,0.9994539100043688,0.0,0.0,482,0.8998242530755711
Elliptic,gatv2,GNNExplainer,33477,0,0,0.984282910823822,0,0.984282910823822,0.0,0,0,0.984282910823822,0.0,1,20,37,0.9994539100043688,0.0,0.0,482,0.8998242530755711
Elliptic,gatv2,GNNExplainer,25357,0,0,0.9846508502960205,0,0.9889131188392639,-0.004262268543243408,0,0,0.9846508502960205,0.0,1,20,36,0.9994539100043688,4.175279173068702e-05,0.7865473031997681,482,0.8998242530755711
Elliptic,gatv2,GNNExplainer,25529,0,0,0.9814974069595337,0,0.9126198291778564,0.06887757778167725,0,0,0.9814974069595337,0.0,1,20,36,0.9994539100043688,4.1499068174744025e-05,0.7795801758766174,482,0.8998242530755711
Elliptic,graphsage,GNNExplainer,33411,0,0,0.9999158382415771,0,0.9938348531723022,0.006080985069274902,0,0,0.9999158382415771,0.0,1,20,37,0.9994539100043688,2.1257534172036685e-05,0.7785359621047974,548,0.8916372202591284
Elliptic,graphsage,GNNExplainer,26147,0,0,0.9981687068939209,1,0.1768985092639923,0.8212701976299286,1,0,0.9981687068939209,0.0,1,20,36,0.9994539100043688,4.1320763557450846e-05,0.7776592373847961,548,0.8916372202591284
Elliptic,graphsage,GNNExplainer,26077,0,0,0.9985560774803162,0,0.6706973314285278,0.32785874605178833,0,0,0.9985560774803162,0.0,1,20,36,0.9994539100043688,4.134328628424555e-05,0.7777655124664307,548,0.8916372202591284
Elliptic,graphsage,GNNExplainer,38470,0,0,0.9991095662117004,0,0.9747963547706604,0.02431321144104004,0,0,0.9991095662117004,0.0,1,20,37,0.9994539100043688,2.1306972485035654e-05,0.7803465723991394,548,0.8916372202591284
Elliptic,graphsage,GNNExplainer,21475,0,0,0.984618067741394,0,0.923961341381073,0.060656726360321045,0,0,0.984618067741394,0.0,1,20,37,0.9994539100043688,2.0965549992979504e-05,0.7678422927856445,548,0.8916372202591284
Elliptic,graphsage,GNNExplainer,24533,0,0,0.9986345171928406,0,0.7322257161140442,0.2664088010787964,0,0,0.9986345171928406,0.0,1,20,36,0.9994539100043688,4.126455678488128e-05,0.7728079557418823,548,0.8916372202591284
Elliptic,graphsage,GNNExplainer,19539,0,0,0.9607040286064148,0,0.9410480856895447,0.019655942916870117,0,0,0.9607040286064148,0.0,1,20,21,0.9994539100043688,0.0001369429810438,0.7905809879302979,548,0.8916372202591284
Elliptic,graphsage,GNNExplainer,35915,0,0,0.9982746839523315,0,0.974235475063324,0.02403920888900757,0,0,0.9982746839523315,0.0,1,20,37,0.9994539100043688,2.123591002600733e-05,0.7777439951896667,548,0.8916372202591284
Elliptic,graphsage,GNNExplainer,25529,0,0,0.9986518025398254,1,0.2755289375782013,0.7231228649616241,1,0,0.9986518025398254,0.0,1,20,36,0.9994539100043688,4.10744032706134e-05,0.7758590579032898,548,0.8916372202591284
Elliptic,graphsage,GNNExplainer,25357,0,0,0.9984353184700012,0,0.5915591716766357,0.4068761467933655,0,0,0.9984353184700012,0.0,1,20,36,0.9994539100043688,4.143782643950544e-05,0.7696834802627563,548,0.8916372202591284
