dataset,feature_setting,explainer,model,node_id,true_label,pred_label,pred_prob_illicit,model_best_epoch,model_test_illicit_f1,num_graph_nodes,num_graph_edges,num_explanation_edges,num_explanation_nodes,sparsity_top_k,edge_mask_mean,edge_mask_max,edge_mask_min,top_edge_indices,top_edge_scores,explanation_nodes
Elliptic,tx+agg,GNNExplainer,graphsage,33411,0,0,0.996006429195404,222,0.8813357185450209,46564,36624,20,37,0.9994539100043687,2.1257534172036685e-05,0.7785359621047974,0.0,"[25384, 4, 18, 10, 16, 8, 19, 1, 5, 11, 12, 15, 7, 17, 3, 9, 13, 0, 2, 6]","[0.7785359621047974, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 9, 10, 12, 13, 19, 20, 21, 22, 27, 28, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 33101, 33411]"
Elliptic,tx+agg,GNNExplainer,graphsage,26147,0,0,0.993022620677948,222,0.8813357185450209,46564,36624,20,36,0.9994539100043687,4.1320763557450846e-05,0.7776592373847961,0.0,"[19284, 19902, 18, 4, 10, 16, 8, 19, 1, 11, 5, 12, 15, 7, 17, 3, 9, 13, 0, 2]","[0.7776592373847961, 0.7356723546981812, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 9, 10, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 25717, 25718, 26147]"
Elliptic,tx+agg,GNNExplainer,graphsage,26077,0,0,0.9913901090621948,222,0.8813357185450209,46564,36624,20,36,0.9994539100043687,4.134328628424555e-05,0.7777655124664307,0.0,"[19408, 20047, 18, 4, 10, 16, 8, 19, 1, 11, 5, 12, 15, 7, 17, 3, 9, 13, 0, 2]","[0.7777655124664307, 0.736391007900238, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 9, 10, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 25991, 25992, 26077]"
Elliptic,tx+agg,GNNExplainer,graphsage,38470,0,0,0.9897143244743347,222,0.8813357185450209,46564,36624,20,37,0.9994539100043687,2.1306972485035658e-05,0.7803465723991394,0.0,"[30203, 4, 18, 10, 16, 8, 19, 1, 5, 11, 12, 15, 7, 17, 3, 9, 13, 0, 2, 6]","[0.7803465723991394, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 9, 10, 12, 13, 19, 20, 21, 22, 27, 28, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 38469, 38470]"
Elliptic,tx+agg,GNNExplainer,graphsage,21475,0,0,0.9893052577972412,222,0.8813357185450209,46564,36624,20,37,0.9994539100043687,2.0965549992979504e-05,0.7678422927856445,0.0,"[16475, 4, 18, 10, 16, 8, 19, 1, 5, 11, 12, 15, 7, 17, 3, 9, 13, 0, 2, 6]","[0.7678422927856445, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 9, 10, 12, 13, 19, 20, 21, 22, 27, 28, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 21475, 21645]"
Elliptic,tx+agg,GNNExplainer,graphsage,24533,0,0,0.9887577891349792,222,0.8813357185450209,46564,36624,20,36,0.9994539100043687,4.126455678488128e-05,0.7728079557418823,0.0,"[18819, 18891, 18, 4, 10, 16, 8, 19, 1, 11, 5, 12, 15, 7, 17, 3, 9, 13, 0, 2]","[0.7728079557418823, 0.7384652495384216, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 9, 10, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 24365, 24366, 24533]"
Elliptic,tx+agg,GNNExplainer,graphsage,19539,0,0,0.9884777665138245,222,0.8813357185450209,46564,36624,20,21,0.9994539100043687,0.00013694298104383051,0.7905809879302979,0.0,"[15465, 16026, 15831, 14643, 15171, 14787, 14716, 15246, 15370, 15321, 15507, 15413, 15780, 15603, 15024, 14812, 14605, 14951, 14668, 14980]","[0.7905809879302979, 0.2531243860721588, 0.24355722963809967, 0.224983811378479, 0.2248978465795517, 0.22391942143440247, 0.22046056389808655, 0.21971431374549866, 0.21929271519184113, 0.21874971687793732, 0.21872691810131073, 0.2182311862707138, 0.21810726821422577, 0.21803955733776093, 0.217702716588974, 0.21740061044692993, 0.21738247573375702, 0.21710996329784393, 0.21700330078601837, 0.21641506254673004]","[19530, 19539, 19575, 19671, 19727, 19784, 19827, 19971, 20093, 20122, 20136, 20344, 20463, 20541, 20648, 20670, 20750, 21056, 21154, 21224, 21258]"
Elliptic,tx+agg,GNNExplainer,graphsage,35915,0,0,0.9879163503646851,222,0.8813357185450209,46564,36624,20,37,0.9994539100043687,2.1235910026007332e-05,0.7777439951896667,0.0,"[27906, 4, 18, 10, 16, 8, 19, 1, 5, 11, 12, 15, 7, 17, 3, 9, 13, 0, 2, 6]","[0.7777439951896667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 9, 10, 12, 13, 19, 20, 21, 22, 27, 28, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 35914, 35915]"
Elliptic,tx+agg,GNNExplainer,graphsage,25529,0,0,0.9879087805747986,222,0.8813357185450209,46564,36624,20,36,0.9994539100043687,4.10744032706134e-05,0.7758590579032898,0.0,"[19250, 20103, 18, 4, 10, 16, 8, 19, 1, 11, 5, 12, 15, 7, 17, 3, 9, 13, 0, 2]","[0.7758590579032898, 0.728449821472168, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 9, 10, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 25236, 25237, 25529]"
Elliptic,tx+agg,GNNExplainer,graphsage,25357,0,0,0.9876496195793152,222,0.8813357185450209,46564,36624,20,36,0.9994539100043687,4.143782643950544e-05,0.7696834802627563,0.0,"[19602, 19983, 18, 4, 10, 16, 8, 19, 1, 11, 5, 12, 15, 7, 17, 3, 9, 13, 0, 2]","[0.7696834802627563, 0.7479353547096252, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 9, 10, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 25356, 25357, 25889]"
