dataset,feature_setting,explainer,model,node_id,true_label,pred_label,pred_prob_illicit,model_best_epoch,model_test_illicit_f1,num_graph_nodes,num_graph_edges,num_explanation_edges,num_explanation_nodes,sparsity_top_k,edge_mask_mean,edge_mask_max,edge_mask_min,top_edge_indices,top_edge_scores,explanation_nodes,explanation_original_edge_pairs
Elliptic,tx+agg,GNNExplainer,gatv2,29912,0,0,0.9992693066596985,624,0.9050925925925926,46564,36624,20,30,0.9994539100043687,2.0407487681950442e-05,0.07509846240282059,0.0,"[23656, 23868, 23559, 22989, 23804, 23723, 23500, 22904, 23093, 23564, 16, 15, 7, 3, 17, 8, 18, 9, 19, 1]","[0.07509846240282059, 0.07477906346321106, 0.07477839291095734, 0.07474645972251892, 0.07469400763511658, 0.07468326389789581, 0.07466170191764832, 0.0746600329875946, 0.0746576189994812, 0.07464480400085449, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 5, 12, 13, 30, 31, 33, 34, 36, 37, 49, 50, 52, 53, 54, 56, 57, 58, 59, 29911, 29912, 30044, 30063, 30421, 30434, 30829, 31005, 31028, 31039, 31170]","[[30044, 29912], [30434, 29912], [30829, 29912], [31028, 29912], [31039, 29912], [31170, 29912], [30421, 29912], [29911, 29912], [30063, 29912], [31005, 29912], [52, 53], [49, 50], [30, 31], [12, 13], [36, 54], [33, 34], [56, 57], [36, 37], [58, 59], [4, 5]]"
Elliptic,tx+agg,GNNExplainer,gatv2,18903,0,0,0.9869310259819031,624,0.9050925925925926,46564,36624,20,21,0.9994539100043687,6.458572897827253e-05,0.10727610439062119,0.0,"[14171, 14545, 14484, 14358, 14348, 14186, 14574, 14235, 14356, 14372, 14541, 14109, 14501, 14155, 14377, 14328, 14463, 14380, 14232, 14256]","[0.10727610439062119, 0.10507712513208389, 0.10108936578035355, 0.0944291278719902, 0.09260578453540802, 0.09215372055768967, 0.09175816923379898, 0.09170398116111755, 0.09165244549512863, 0.09104655683040619, 0.09090544283390045, 0.09079119563102722, 0.09017672389745712, 0.08955150097608566, 0.08938845247030258, 0.08921293914318085, 0.08872241526842117, 0.08733619004487991, 0.08712134510278702, 0.08684506267309189]","[18903, 18999, 19028, 19041, 19050, 19078, 19193, 19204, 19210, 19234, 19247, 19261, 19264, 19333, 19369, 19377, 19421, 19424, 19439, 19523, 19526]","[[19193, 18903], [19204, 18903], [19041, 18903], [19439, 18903], [19421, 18903], [19261, 18903], [19050, 18903], [19526, 18903], [19078, 18903], [19369, 18903], [19210, 18903], [19028, 18903], [19234, 18903], [19424, 18903], [19333, 18903], [19377, 18903], [19247, 18903], [19264, 18903], [19523, 18903], [18999, 18903]]"
Elliptic,tx+agg,GNNExplainer,gatv2,19539,0,0,0.9799511432647705,624,0.9050925925925926,46564,36624,20,21,0.9994539100043687,4.238526526023634e-05,0.07837170362472534,0.0,"[15780, 15603, 15507, 14605, 14812, 15321, 14951, 14787, 15831, 15370, 15413, 16026, 14668, 14980, 15246, 14716, 14643, 15171, 15465, 15024]","[0.07837170362472534, 0.07815460115671158, 0.07809264957904816, 0.07791665196418762, 0.07787801325321198, 0.07774380594491959, 0.07770420610904694, 0.07764860987663269, 0.07761997729539871, 0.07757032662630081, 0.07753506302833557, 0.07750903069972992, 0.0775042176246643, 0.07748740166425705, 0.07734286040067673, 0.0773262083530426, 0.07729260623455048, 0.07725589722394943, 0.07723186910152435, 0.07713225483894348]","[19530, 19539, 19575, 19671, 19727, 19784, 19827, 19971, 20093, 20122, 20136, 20344, 20463, 20541, 20648, 20670, 20750, 21056, 21154, 21224, 21258]","[[21154, 19539], [19971, 19539], [20541, 19539], [19575, 19539], [20648, 19539], [21258, 19539], [20122, 19539], [20093, 19539], [21056, 19539], [20136, 19539], [20670, 19539], [20463, 19539], [19727, 19539], [20750, 19539], [21224, 19539], [19784, 19539], [19671, 19539], [20344, 19539], [19827, 19539], [19530, 20093]]"
Elliptic,tx+agg,GNNExplainer,gatv2,18018,0,0,0.9721353054046631,624,0.9050925925925926,46564,36624,20,34,0.9994539100043687,0.00012298797082621604,0.9139623641967773,0.0,"[13497, 13598, 14030, 13569, 13831, 16, 8, 18, 19, 1, 4, 10, 15, 7, 17, 3, 9, 11, 5, 12]","[0.9139623641967773, 0.906740665435791, 0.9004552960395813, 0.8935950994491577, 0.8895581364631653, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 5, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 49, 50, 52, 53, 54, 56, 57, 58, 59, 18017, 18018, 18268, 18629, 18799, 18847]","[[18017, 18018], [18847, 18268], [18799, 18629], [18268, 18018], [18629, 18018], [52, 53], [33, 34], [56, 57], [58, 59], [4, 5], [19, 20], [38, 39], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [41, 33], [21, 22], [42, 43]]"
Elliptic,tx+agg,GNNExplainer,gatv2,21007,0,0,0.9611611366271973,624,0.9050925925925926,46564,36624,20,35,0.9994539100043687,1.0771866072900593e-05,0.228069007396698,0.0,"[16054, 15055, 14859, 18, 16, 8, 1, 19, 4, 10, 11, 15, 7, 17, 3, 9, 5, 12, 13, 0]","[0.228069007396698, 0.093661367893219, 0.07277844846248627, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 19530, 19858, 20068, 21007]","[[20068, 21007], [19858, 20068], [19530, 20068], [56, 57], [52, 53], [33, 34], [4, 5], [58, 59], [19, 20], [38, 39], [41, 33], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [21, 22], [42, 43], [36, 44], [2, 3]]"
Elliptic,tx+agg,GNNExplainer,gatv2,24361,0,0,0.9419565200805664,624,0.9050925925925926,46564,36624,20,34,0.9994539100043687,8.762953257246409e-06,0.08766977488994598,0.0,"[19011, 18940, 18795, 18843, 8, 16, 18, 19, 1, 4, 10, 15, 7, 17, 3, 9, 11, 5, 12, 13]","[0.08766977488994598, 0.08078279346227646, 0.0771462470293045, 0.07533560693264008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 5, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 24231, 24276, 24361, 24554, 24598]","[[24554, 24361], [24231, 24361], [24276, 24361], [24598, 24231], [33, 34], [52, 53], [56, 57], [58, 59], [4, 5], [19, 20], [38, 39], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [41, 33], [21, 22], [42, 43], [36, 44]]"
Elliptic,tx+agg,GNNExplainer,gatv2,17047,0,0,0.9183737635612488,624,0.9050925925925926,46564,36624,20,34,0.9994539100043687,6.165775994304568e-05,0.929434597492218,0.0,"[12699, 12701, 12660, 12594, 12847, 16, 8, 18, 19, 1, 4, 10, 15, 7, 17, 3, 9, 11, 5, 12]","[0.929434597492218, 0.9292004704475403, 0.21580815315246582, 0.09249675273895264, 0.09121400117874146, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 5, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 49, 50, 52, 53, 54, 56, 57, 58, 59, 16894, 16984, 17027, 17047, 17148, 17149]","[[17148, 16894], [17149, 16894], [16894, 17047], [17027, 16894], [16984, 16894], [52, 53], [33, 34], [56, 57], [58, 59], [4, 5], [19, 20], [38, 39], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [41, 33], [21, 22], [42, 43]]"
Elliptic,tx+agg,GNNExplainer,gatv2,24239,0,0,0.880243718624115,624,0.9050925925925926,46564,36624,20,21,0.9994539100043687,0.00012707224232144654,0.9275697469711304,0.0,"[19027, 18847, 18933, 18727, 18701, 18983, 18926, 18821, 18876, 18776, 18707, 18959, 18855, 18969, 18996, 18880, 18837, 18791, 18714, 18691]","[0.9275697469711304, 0.8751258254051208, 0.28632304072380066, 0.21768635511398315, 0.21013745665550232, 0.197971373796463, 0.19691625237464905, 0.18979036808013916, 0.17591677606105804, 0.16204141080379486, 0.15318706631660461, 0.152388796210289, 0.14636625349521637, 0.1319759041070938, 0.12022050470113754, 0.1159716472029686, 0.11323587596416473, 0.11132365465164185, 0.09460952132940292, 0.07513593882322311]","[24226, 24227, 24239, 24260, 24271, 24272, 24347, 24368, 24374, 24443, 24473, 24475, 24524, 24529, 24541, 24555, 24561, 24625, 24641, 24660, 24708]","[[24625, 24561], [24443, 24239], [24555, 24239], [24475, 24239], [24260, 24239], [24660, 24239], [24541, 24239], [24368, 24239], [24641, 24239], [24374, 24239], [24347, 24239], [24473, 24239], [24524, 24239], [24708, 24239], [24561, 24239], [24227, 24239], [24529, 24239], [24272, 24239], [24271, 24272], [24226, 24227]]"
Elliptic,tx+agg,GNNExplainer,gatv2,18323,0,0,0.8514619469642639,624,0.9050925925925926,46564,36624,20,34,0.9994539100043687,7.726183685008436e-05,0.924949049949646,0.0,"[13498, 13628, 13689, 13631, 13488, 16, 8, 18, 19, 1, 4, 10, 15, 7, 17, 3, 9, 11, 5, 12]","[0.924949049949646, 0.8808515071868896, 0.8763045072555542, 0.07422386109828949, 0.07330869138240814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 5, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 49, 50, 52, 53, 54, 56, 57, 58, 59, 18018, 18019, 18312, 18313, 18322, 18323]","[[18018, 18019], [18019, 18323], [18322, 18323], [18312, 18313], [18313, 18323], [52, 53], [33, 34], [56, 57], [58, 59], [4, 5], [19, 20], [38, 39], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [41, 33], [21, 22], [42, 43]]"
Elliptic,tx+agg,GNNExplainer,gatv2,17494,0,0,0.829635500907898,624,0.9050925925925926,46564,36624,20,35,0.9994539100043687,5.1440463721519336e-05,0.9135280847549438,0.0,"[13302, 12967, 13419, 18, 16, 8, 1, 19, 4, 10, 11, 15, 7, 17, 3, 9, 5, 12, 13, 0]","[0.9135280847549438, 0.895172119140625, 0.07525525987148285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 17494, 17695, 17827, 17968]","[[17695, 17494], [17827, 17494], [17968, 17494], [56, 57], [52, 53], [33, 34], [4, 5], [58, 59], [19, 20], [38, 39], [41, 33], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [21, 22], [42, 43], [36, 44], [2, 3]]"
