dataset,feature_setting,explainer,model,node_id,true_label,pred_label,pred_prob_illicit,model_best_epoch,model_test_illicit_f1,num_graph_nodes,num_graph_edges,num_explanation_edges,num_explanation_nodes,sparsity_top_k,edge_mask_mean,edge_mask_max,edge_mask_min,top_edge_indices,top_edge_scores,explanation_nodes,explanation_original_edge_pairs
Elliptic,tx+agg,PGExplainer,graphsage,33411,0,0,0.9971217513084412,238,0.8866348448687351,46564,36624,20,37,0.9994539100043687,1.5741274182801135e-05,0.5765084028244019,0.0,"[25384, 4, 18, 10, 16, 8, 19, 1, 5, 11, 12, 15, 7, 17, 3, 9, 13, 0, 2, 6]","[0.5765084028244019, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 9, 10, 12, 13, 19, 20, 21, 22, 27, 28, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 33101, 33411]","[[33101, 33411], [19, 20], [56, 57], [38, 39], [52, 53], [33, 34], [58, 59], [4, 5], [21, 22], [41, 33], [42, 43], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [36, 44], [2, 3], [9, 10], [27, 28]]"
Elliptic,tx+agg,PGExplainer,graphsage,26147,0,0,0.9949812293052673,238,0.8866348448687351,46564,36624,20,36,0.9994539100043687,2.580039290478453e-05,0.4820843040943146,0.0,"[19284, 19902, 18, 4, 10, 16, 8, 19, 1, 11, 5, 12, 15, 7, 17, 3, 9, 13, 0, 2]","[0.4820843040943146, 0.46282926201820374, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 9, 10, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 25717, 25718, 26147]","[[25717, 25718], [25718, 26147], [56, 57], [19, 20], [38, 39], [52, 53], [33, 34], [58, 59], [4, 5], [41, 33], [21, 22], [42, 43], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [36, 44], [2, 3], [9, 10]]"
Elliptic,tx+agg,PGExplainer,graphsage,26077,0,0,0.9895443320274353,238,0.8866348448687351,46564,36624,20,36,0.9994539100043687,2.597624552436173e-05,0.47788479924201965,0.0,"[20047, 19408, 18, 4, 10, 16, 8, 19, 1, 11, 5, 12, 15, 7, 17, 3, 9, 13, 0, 2]","[0.47788479924201965, 0.47346925735473633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 9, 10, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 25991, 25992, 26077]","[[25992, 26077], [25991, 25992], [56, 57], [19, 20], [38, 39], [52, 53], [33, 34], [58, 59], [4, 5], [41, 33], [21, 22], [42, 43], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [36, 44], [2, 3], [9, 10]]"
Elliptic,tx+agg,PGExplainer,graphsage,22572,0,0,0.9885144829750061,238,0.8866348448687351,46564,36624,20,36,0.9994539100043687,2.581629087217152e-05,0.47565823793411255,0.0,"[17783, 17842, 18, 4, 10, 16, 8, 19, 1, 11, 5, 12, 15, 7, 17, 3, 9, 13, 0, 2]","[0.47565823793411255, 0.46983757615089417, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 9, 10, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 22572, 22802, 22981]","[[22802, 22981], [22981, 22572], [56, 57], [19, 20], [38, 39], [52, 53], [33, 34], [58, 59], [4, 5], [41, 33], [21, 22], [42, 43], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [36, 44], [2, 3], [9, 10]]"
Elliptic,tx+agg,PGExplainer,graphsage,29912,0,0,0.9877519607543945,238,0.8866348448687351,46564,36624,20,30,0.9994539100043687,0.000158873968757689,0.5834606885910034,0.0,"[23564, 23804, 23500, 23559, 22904, 23723, 23093, 23656, 23868, 22989, 16, 15, 7, 3, 17, 8, 18, 9, 19, 1]","[0.5834606885910034, 0.583320140838623, 0.5831353664398193, 0.5830767750740051, 0.5828617215156555, 0.5825397372245789, 0.5823483467102051, 0.5808308720588684, 0.579656720161438, 0.5773695707321167, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 5, 12, 13, 30, 31, 33, 34, 36, 37, 49, 50, 52, 53, 54, 56, 57, 58, 59, 29911, 29912, 30044, 30063, 30421, 30434, 30829, 31005, 31028, 31039, 31170]","[[31005, 29912], [31039, 29912], [30421, 29912], [30829, 29912], [29911, 29912], [31170, 29912], [30063, 29912], [30044, 29912], [30434, 29912], [31028, 29912], [52, 53], [49, 50], [30, 31], [12, 13], [36, 54], [33, 34], [56, 57], [36, 37], [58, 59], [4, 5]]"
Elliptic,tx+agg,PGExplainer,graphsage,24533,0,0,0.9876236915588379,238,0.8866348448687351,46564,36624,20,36,0.9994539100043687,2.8240607207408175e-05,0.5577720999717712,0.0,"[18819, 18891, 18, 4, 10, 16, 8, 19, 1, 11, 5, 12, 15, 7, 17, 3, 9, 13, 0, 2]","[0.5577720999717712, 0.4765118956565857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 9, 10, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 24365, 24366, 24533]","[[24365, 24366], [24366, 24533], [56, 57], [19, 20], [38, 39], [52, 53], [33, 34], [58, 59], [4, 5], [41, 33], [21, 22], [42, 43], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [36, 44], [2, 3], [9, 10]]"
Elliptic,tx+agg,PGExplainer,graphsage,35915,0,0,0.9867297410964966,238,0.8866348448687351,46564,36624,20,37,0.9994539100043687,1.4013591680850368e-05,0.5132337808609009,0.0,"[27906, 4, 18, 10, 16, 8, 19, 1, 5, 11, 12, 15, 7, 17, 3, 9, 13, 0, 2, 6]","[0.5132337808609009, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 9, 10, 12, 13, 19, 20, 21, 22, 27, 28, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 35914, 35915]","[[35914, 35915], [19, 20], [56, 57], [38, 39], [52, 53], [33, 34], [58, 59], [4, 5], [21, 22], [41, 33], [42, 43], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [36, 44], [2, 3], [9, 10], [27, 28]]"
Elliptic,tx+agg,PGExplainer,graphsage,21475,0,0,0.9866307377815247,238,0.8866348448687351,46564,36624,20,37,0.9994539100043687,1.5680821888963692e-05,0.5742944478988647,0.0,"[16475, 4, 18, 10, 16, 8, 19, 1, 5, 11, 12, 15, 7, 17, 3, 9, 13, 0, 2, 6]","[0.5742944478988647, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 9, 10, 12, 13, 19, 20, 21, 22, 27, 28, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 21475, 21645]","[[21645, 21475], [19, 20], [56, 57], [38, 39], [52, 53], [33, 34], [58, 59], [4, 5], [21, 22], [41, 33], [42, 43], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [36, 44], [2, 3], [9, 10], [27, 28]]"
Elliptic,tx+agg,PGExplainer,graphsage,22638,0,0,0.986541748046875,238,0.8866348448687351,46564,36624,20,36,0.9994539100043687,2.5426501451875083e-05,0.48787665367126465,0.0,"[18053, 17223, 18, 4, 10, 16, 8, 19, 1, 11, 5, 12, 15, 7, 17, 3, 9, 13, 0, 2]","[0.48787665367126465, 0.44334352016448975, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 9, 10, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 22637, 22638, 23105]","[[23105, 22637], [22637, 22638], [56, 57], [19, 20], [38, 39], [52, 53], [33, 34], [58, 59], [4, 5], [41, 33], [21, 22], [42, 43], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [36, 44], [2, 3], [9, 10]]"
Elliptic,tx+agg,PGExplainer,graphsage,25529,0,0,0.9865104556083679,238,0.8866348448687351,46564,36624,20,36,0.9994539100043687,2.5455707145738415e-05,0.46665796637535095,0.0,"[19250, 20103, 18, 4, 10, 16, 8, 19, 1, 11, 5, 12, 15, 7, 17, 3, 9, 13, 0, 2]","[0.46665796637535095, 0.4656318724155426, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 9, 10, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 25236, 25237, 25529]","[[25236, 25237], [25237, 25529], [56, 57], [19, 20], [38, 39], [52, 53], [33, 34], [58, 59], [4, 5], [41, 33], [21, 22], [42, 43], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [36, 44], [2, 3], [9, 10]]"
