dataset,feature_setting,explainer,model,node_id,true_label,pred_label,pred_prob_illicit,model_best_epoch,model_test_illicit_f1,num_graph_nodes,num_graph_edges,num_explanation_edges,num_explanation_nodes,sparsity_top_k,edge_mask_mean,edge_mask_max,edge_mask_min,top_edge_indices,top_edge_scores,explanation_nodes,explanation_original_edge_pairs
Elliptic,tx+agg,PGExplainer,gatv2,29912,0,0,0.9992693066596985,624,0.9050925925925926,46564,36624,20,30,0.9994539100043687,0.00012634877930395305,0.6016898155212402,0.0,"[23564, 23093, 22989, 23804, 22904, 23559, 23500, 23723, 23868, 23656, 16, 15, 7, 3, 17, 8, 18, 9, 19, 1]","[0.6016898155212402, 0.5607113242149353, 0.53083336353302, 0.49174875020980835, 0.45808637142181396, 0.43278929591178894, 0.4284873902797699, 0.42569640278816223, 0.3674253225326538, 0.3299294114112854, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 5, 12, 13, 30, 31, 33, 34, 36, 37, 49, 50, 52, 53, 54, 56, 57, 58, 59, 29911, 29912, 30044, 30063, 30421, 30434, 30829, 31005, 31028, 31039, 31170]","[[31005, 29912], [30063, 29912], [31028, 29912], [31039, 29912], [29911, 29912], [30829, 29912], [30421, 29912], [31170, 29912], [30434, 29912], [30044, 29912], [52, 53], [49, 50], [30, 31], [12, 13], [36, 54], [33, 34], [56, 57], [36, 37], [58, 59], [4, 5]]"
Elliptic,tx+agg,PGExplainer,gatv2,18903,0,0,0.9869310259819031,624,0.9050925925925926,46564,36624,20,21,0.9994539100043687,0.0003950805985368788,0.9691655039787292,0.0,"[14171, 14545, 14484, 14574, 14235, 14348, 14109, 14328, 14256, 14377, 14127, 14501, 14155, 14375, 14186, 14372, 14380, 14522, 14541, 14463]","[0.9691655039787292, 0.7424287796020508, 0.6750497817993164, 0.6516922116279602, 0.6406187415122986, 0.6378783583641052, 0.5971968173980713, 0.5936439633369446, 0.5859103202819824, 0.5842956900596619, 0.5746408104896545, 0.5564061403274536, 0.5548986196517944, 0.5512243509292603, 0.5412008762359619, 0.5165976881980896, 0.5033890008926392, 0.49587514996528625, 0.4957248270511627, 0.4897197186946869]","[18903, 18999, 19028, 19041, 19050, 19137, 19193, 19195, 19204, 19210, 19234, 19247, 19261, 19264, 19333, 19369, 19377, 19421, 19424, 19498, 19526]","[[19193, 18903], [19204, 18903], [19041, 18903], [19050, 18903], [19526, 18903], [19421, 18903], [19028, 18903], [19377, 18903], [18999, 18903], [19333, 18903], [19137, 18903], [19234, 18903], [19424, 18903], [19195, 18903], [19261, 18903], [19369, 18903], [19264, 18903], [19498, 18903], [19210, 18903], [19247, 18903]]"
Elliptic,tx+agg,PGExplainer,gatv2,19539,0,0,0.9799511432647705,624,0.9050925925925926,46564,36624,20,21,0.9994539100043687,0.0002686237858142704,1.0,0.0,"[14787, 15831, 15171, 14980, 15246, 15465, 14716, 14643, 14951, 14812, 16026, 15413, 14605, 15370, 15321, 14668, 15603, 15507, 15780, 15024]","[1.0, 0.8826608061790466, 0.5566261410713196, 0.5348981618881226, 0.5346277356147766, 0.5340887904167175, 0.5317471027374268, 0.5279496908187866, 0.4750533401966095, 0.4750116169452667, 0.46905091404914856, 0.4496995508670807, 0.4297042787075043, 0.429670125246048, 0.41901955008506775, 0.41721922159194946, 0.4094129800796509, 0.3548354506492615, 0.3372385799884796, 0.06956351548433304]","[19530, 19539, 19575, 19671, 19727, 19784, 19827, 19971, 20093, 20122, 20136, 20344, 20463, 20541, 20648, 20670, 20750, 21056, 21154, 21224, 21258]","[[20093, 19539], [21056, 19539], [20344, 19539], [20750, 19539], [21224, 19539], [19827, 19539], [19784, 19539], [19671, 19539], [20122, 19539], [20648, 19539], [20463, 19539], [20670, 19539], [19575, 19539], [20136, 19539], [21258, 19539], [19727, 19539], [19971, 19539], [20541, 19539], [21154, 19539], [19530, 20093]]"
Elliptic,tx+agg,PGExplainer,gatv2,18018,0,0,0.9721353054046631,624,0.9050925925925926,46564,36624,20,34,0.9994539100043687,3.689822187880054e-05,0.31216007471084595,0.0,"[13497, 14030, 13569, 13598, 13831, 16, 8, 18, 19, 1, 4, 10, 15, 7, 17, 3, 9, 11, 5, 12]","[0.31216007471084595, 0.26576870679855347, 0.2614121437072754, 0.2599356174468994, 0.2520838975906372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 5, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 49, 50, 52, 53, 54, 56, 57, 58, 59, 18017, 18018, 18268, 18629, 18799, 18847]","[[18017, 18018], [18799, 18629], [18268, 18018], [18847, 18268], [18629, 18018], [52, 53], [33, 34], [56, 57], [58, 59], [4, 5], [19, 20], [38, 39], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [41, 33], [21, 22], [42, 43]]"
Elliptic,tx+agg,PGExplainer,gatv2,21007,0,0,0.9611611366271973,624,0.9050925925925926,46564,36624,20,35,0.9994539100043687,2.873414268833585e-05,1.0,0.0,"[16054, 14859, 15055, 18, 16, 8, 1, 19, 4, 10, 11, 15, 7, 17, 3, 9, 5, 12, 13, 0]","[1.0, 0.052359260618686676, 6.550122423620852e-12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 19530, 19858, 20068, 21007]","[[20068, 21007], [19530, 20068], [19858, 20068], [56, 57], [52, 53], [33, 34], [4, 5], [58, 59], [19, 20], [38, 39], [41, 33], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [21, 22], [42, 43], [36, 44], [2, 3]]"
Elliptic,tx+agg,PGExplainer,gatv2,24361,0,0,0.9419565200805664,624,0.9050925925925926,46564,36624,20,34,0.9994539100043687,4.631272531696595e-05,0.489898145198822,0.0,"[18940, 19011, 18795, 18843, 8, 16, 18, 19, 1, 4, 10, 15, 7, 17, 3, 9, 11, 5, 12, 13]","[0.489898145198822, 0.44461938738822937, 0.38532429933547974, 0.3763153851032257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 5, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 24231, 24276, 24361, 24554, 24598]","[[24231, 24361], [24554, 24361], [24276, 24361], [24598, 24231], [33, 34], [52, 53], [56, 57], [58, 59], [4, 5], [19, 20], [38, 39], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [41, 33], [21, 22], [42, 43], [36, 44]]"
Elliptic,tx+agg,PGExplainer,gatv2,17047,0,0,0.9183737635612488,624,0.9050925925925926,46564,36624,20,34,0.9994539100043687,6.889301585033536e-05,0.7103529572486877,0.0,"[12660, 12699, 12701, 12847, 12594, 16, 8, 18, 19, 1, 4, 10, 15, 7, 17, 3, 9, 11, 5, 12]","[0.7103529572486877, 0.6708589196205139, 0.597663164138794, 0.36913612484931946, 0.17512673139572144, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 5, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 49, 50, 52, 53, 54, 56, 57, 58, 59, 16894, 16984, 17027, 17047, 17148, 17149]","[[16894, 17047], [17148, 16894], [17149, 16894], [16984, 16894], [17027, 16894], [52, 53], [33, 34], [56, 57], [58, 59], [4, 5], [19, 20], [38, 39], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [41, 33], [21, 22], [42, 43]]"
Elliptic,tx+agg,PGExplainer,gatv2,24239,0,0,0.880243718624115,624,0.9050925925925926,46564,36624,20,21,0.9994539100043687,0.00029187684413045645,0.9560182690620422,0.0,"[18933, 18983, 18701, 18926, 18727, 18776, 18876, 18821, 18707, 18855, 18959, 18880, 18837, 18791, 18969, 18714, 18691, 18996, 19027, 18847]","[0.9560182690620422, 0.6460055112838745, 0.6451143026351929, 0.6328855156898499, 0.5961987376213074, 0.5928562879562378, 0.590162456035614, 0.5817433595657349, 0.5672705769538879, 0.5550834536552429, 0.5442707538604736, 0.5152576565742493, 0.4799560308456421, 0.4625978171825409, 0.42569226026535034, 0.4237591028213501, 0.39287033677101135, 0.3914230763912201, 0.3666539490222931, 0.3238784968852997]","[24226, 24227, 24239, 24260, 24271, 24272, 24347, 24368, 24374, 24443, 24473, 24475, 24524, 24529, 24541, 24555, 24561, 24625, 24641, 24660, 24708]","[[24555, 24239], [24660, 24239], [24260, 24239], [24541, 24239], [24475, 24239], [24374, 24239], [24641, 24239], [24368, 24239], [24347, 24239], [24524, 24239], [24473, 24239], [24227, 24239], [24529, 24239], [24272, 24239], [24708, 24239], [24271, 24272], [24226, 24227], [24561, 24239], [24625, 24561], [24443, 24239]]"
Elliptic,tx+agg,PGExplainer,gatv2,18323,0,0,0.8514619469642639,624,0.9050925925925926,46564,36624,20,34,0.9994539100043687,4.487016485654749e-05,0.34457650780677795,0.0,"[13488, 13631, 13628, 13689, 13498, 16, 8, 18, 19, 1, 4, 10, 15, 7, 17, 3, 9, 11, 5, 12]","[0.34457650780677795, 0.32574859261512756, 0.3253422677516937, 0.3239475190639496, 0.3237100839614868, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 5, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 49, 50, 52, 53, 54, 56, 57, 58, 59, 18018, 18019, 18312, 18313, 18322, 18323]","[[18313, 18323], [18312, 18313], [18019, 18323], [18322, 18323], [18018, 18019], [52, 53], [33, 34], [56, 57], [58, 59], [4, 5], [19, 20], [38, 39], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [41, 33], [21, 22], [42, 43]]"
Elliptic,tx+agg,PGExplainer,gatv2,17494,0,0,0.829635500907898,624,0.9050925925925926,46564,36624,20,35,0.9994539100043687,3.046082565560937e-05,0.4122120440006256,0.0,"[13419, 13302, 12967, 18, 16, 8, 1, 19, 4, 10, 11, 15, 7, 17, 3, 9, 5, 12, 13, 0]","[0.4122120440006256, 0.3727176785469055, 0.33066755533218384, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 3, 4, 5, 12, 13, 19, 20, 21, 22, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44, 49, 50, 52, 53, 54, 56, 57, 58, 59, 17494, 17695, 17827, 17968]","[[17968, 17494], [17695, 17494], [17827, 17494], [56, 57], [52, 53], [33, 34], [4, 5], [58, 59], [19, 20], [38, 39], [41, 33], [49, 50], [30, 31], [36, 54], [12, 13], [36, 37], [21, 22], [42, 43], [36, 44], [2, 3]]"
