model,epoch,mean_loss,usable_nodes,skipped_nodes,total_training_nodes
gatv2,1,1.0823321172169276,7,23,30
gatv2,2,1.0742254938398088,7,23,30
gatv2,3,1.0810618485723222,7,23,30
gatv2,4,1.072130731173924,7,23,30
gatv2,5,1.0805738653455461,7,23,30
gatv2,6,1.0594914725848608,7,23,30
gatv2,7,1.0751434053693498,7,23,30
gatv2,8,1.067333962236132,7,23,30
gatv2,9,1.0553306596619743,7,23,30
gatv2,10,1.066007205418178,7,23,30
gatv2,11,1.0370044197354997,7,23,30
gatv2,12,1.038424585546766,7,23,30
gatv2,13,1.0489832588604517,7,23,30
gatv2,14,1.0653474160603114,7,23,30
gatv2,15,1.0751768265451704,7,23,30
gatv2,16,1.0464399882725306,7,23,30
gatv2,17,1.0444318567003523,7,23,30
gatv2,18,1.03399372952325,7,23,30
gatv2,19,1.0290168523788452,7,23,30
gatv2,20,1.0658720135688782,7,23,30
