model,epoch,mean_loss,usable_nodes,skipped_nodes,total_training_nodes
gcn,1,1.4027284979820251,7,23,30
gcn,2,1.40708931854793,7,23,30
gcn,3,1.4282316650663103,7,23,30
gcn,4,1.4148395231791906,7,23,30
gcn,5,1.418288196836199,7,23,30
gcn,6,1.4210086379732405,7,23,30
gcn,7,1.4387952940804618,7,23,30
gcn,8,1.4042521544865199,7,23,30
gcn,9,1.3753835133143835,7,23,30
gcn,10,1.4183240618024553,7,23,30
gcn,11,1.4483503103256226,7,23,30
gcn,12,1.3624385765620641,7,23,30
gcn,13,1.314103092466082,7,23,30
gcn,14,1.4182746750967843,7,23,30
gcn,15,1.405912228993007,7,23,30
gcn,16,1.3057730793952942,7,23,30
gcn,17,1.2855583684785026,7,23,30
gcn,18,1.359852067061833,7,23,30
gcn,19,1.361117226736886,7,23,30
gcn,20,1.3248858536992754,7,23,30
