epoch,mean_loss,usable_nodes,skipped_nodes,total_training_nodes
1,1.547615389029185,6,24,30
2,1.3941513895988464,6,24,30
3,1.4199013113975525,6,24,30
4,1.4896663924058278,6,24,30
5,1.5596896509329479,6,24,30
6,1.515829583009084,6,24,30
7,1.6018920342127483,6,24,30
8,1.5431604584058125,6,24,30
9,1.5297704537709553,6,24,30
10,1.5093180338541667,6,24,30
11,1.3467047611872356,6,24,30
12,1.6343376735846202,6,24,30
13,1.7473264336585999,6,24,30
14,1.471841384967168,6,24,30
15,1.326878587404887,6,24,30
16,1.3848460018634796,6,24,30
17,1.5137780507405598,6,24,30
18,1.7539126177628834,6,24,30
19,1.4306620359420776,6,24,30
20,1.4779320259888966,6,24,30
