dataset,task,model,seed,num_nodes,num_edges,num_features,train_samples,val_samples,test_samples,train_fraud,val_fraud,test_fraud,best_epoch,train_f1,val_f1,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
IBM AMLSim,account_node_classification,GCN,42,10000,1323234,26,6500,1500,2000,1095,253,337,410,0.39545594105004606,0.37077131258457374,0.2890262751159196,0.5548961424332344,0.3800813008130081,0.6893194701934762,0.3409275042113058
IBM AMLSim,account_node_classification,GraphSAGE,42,10000,1323234,26,6500,1500,2000,1095,253,337,373,0.9348314606741573,0.9206963249516441,0.9005847953216374,0.913946587537092,0.9072164948453608,0.9801777560484699,0.9416145635229577
IBM AMLSim,account_node_classification,GATv2,42,10000,1323234,26,6500,1500,2000,1095,253,337,798,0.9228054697838554,0.8675623800383877,0.8563049853372434,0.8664688427299704,0.8613569321533924,0.9526114722418996,0.886346507162441
IBM AMLSim,account_node_classification,GCN,43,10000,1323234,26,6500,1500,2000,1095,253,337,151,0.37798485730926035,0.37187127532777114,0.27509778357235987,0.6261127596439169,0.3822463768115942,0.6661961954281614,0.28769414367044027
IBM AMLSim,account_node_classification,GraphSAGE,43,10000,1323234,26,6500,1500,2000,1095,253,337,460,0.9417607223476298,0.8970873786407767,0.9074626865671642,0.9020771513353115,0.9047619047619048,0.981491031010062,0.9479596722589511
IBM AMLSim,account_node_classification,GATv2,43,10000,1323234,26,6500,1500,2000,1095,253,337,227,0.7618302698474775,0.7182866556836903,0.6117136659436009,0.8367952522255193,0.706766917293233,0.9356834293606171,0.8116045233629299
IBM AMLSim,account_node_classification,GCN,44,10000,1323234,26,6500,1500,2000,1095,253,337,140,0.37345763641349056,0.3462897526501767,0.2589641434262948,0.5786350148367952,0.3577981651376147,0.6676218838715203,0.2898271328376901
IBM AMLSim,account_node_classification,GraphSAGE,44,10000,1323234,26,6500,1500,2000,1095,253,337,608,0.9550359712230215,0.9224652087475149,0.9164179104477612,0.9109792284866469,0.9136904761904762,0.9741698799673824,0.9365184783794964
IBM AMLSim,account_node_classification,GATv2,44,10000,1323234,26,6500,1500,2000,1095,253,337,195,0.7550766680480729,0.7426470588235294,0.6405867970660146,0.7774480712166172,0.7024128686327078,0.9172369123049939,0.7540030646948906
IBM AMLSim,account_node_classification,GCN,45,10000,1323234,26,6500,1500,2000,1095,253,337,85,0.3755707762557078,0.36233611442193087,0.28254847645429365,0.6053412462908012,0.38526912181303113,0.6880454507334532,0.3279085434877803
IBM AMLSim,account_node_classification,GraphSAGE,45,10000,1323234,26,6500,1500,2000,1095,253,337,645,0.9505840071877808,0.883629191321499,0.9246987951807228,0.9109792284866469,0.9177877428998505,0.9780454685768631,0.9543714642009252
IBM AMLSim,account_node_classification,GATv2,45,10000,1323234,26,6500,1500,2000,1095,253,337,290,0.7657512116316639,0.7304964539007093,0.7014925373134329,0.8367952522255193,0.7631935047361299,0.9483897214822162,0.8358032118419724
IBM AMLSim,account_node_classification,GCN,46,10000,1323234,26,6500,1500,2000,1095,253,337,208,0.3889541715628672,0.3553299492385787,0.24661246612466126,0.5400593471810089,0.3386046511627907,0.6444093920571845,0.2737737177072965
IBM AMLSim,account_node_classification,GraphSAGE,46,10000,1323234,26,6500,1500,2000,1095,253,337,199,0.9236983842010772,0.8976377952755905,0.8657142857142858,0.8991097922848664,0.8820960698689956,0.9793640965613966,0.9352010448243222
IBM AMLSim,account_node_classification,GATv2,46,10000,1323234,26,6500,1500,2000,1095,253,337,574,0.8171428571428572,0.7653429602888087,0.6852791878172588,0.8011869436201781,0.7387140902872777,0.9312654010930873,0.807478002874614
