dataset,task,model,seed,best_epoch,train_samples,val_samples,test_samples,train_f1,val_f1,test_f1,test_precision,test_recall,test_pr_auc,test_roc_auc
IBM HI-Small,account_node_classification,GCN,42,33,334802,77262,103016,0.047752648153449755,0.04844047032317116,0.04689487070792709,0.024264524442738463,0.6963021243115657,0.029148002856220996,0.734726879833607
IBM HI-Small,account_node_classification,GCN,43,290,334802,77262,103016,0.05966701352757544,0.05914508468500762,0.05710226311694462,0.029833863556026866,0.6640440597954367,0.060014757676055776,0.7924515435392757
IBM HI-Small,account_node_classification,GCN,44,305,334802,77262,103016,0.05814171426316672,0.05767441860465116,0.05556807572196645,0.028969452836522323,0.6789929189614476,0.05885200543492371,0.7911037447678838
IBM HI-Small,account_node_classification,GCN,45,246,334802,77262,103016,0.05652501594295321,0.05611205785776632,0.05433555025724683,0.02829603006044764,0.6813532651455547,0.056670439511908983,0.7896852210593126
IBM HI-Small,account_node_classification,GCN,46,297,334802,77262,103016,0.056402101103561274,0.05706499298042778,0.054416230940229814,0.028335724533715925,0.6837136113296617,0.056311846702112756,0.7901735332144093
IBM HI-Small,account_node_classification,GraphSAGE,42,97,334802,77262,103016,0.08590252859217301,0.08472721588244489,0.08335279010039692,0.04384492569697466,0.8426435877261998,0.09544969552136326,0.8879386491714856
IBM HI-Small,account_node_classification,GraphSAGE,43,218,334802,77262,103016,0.09085165685970889,0.08719492527685195,0.08768317790965241,0.046212765957446805,0.8544453186467349,0.11330321471361962,0.8975276662212913
IBM HI-Small,account_node_classification,GraphSAGE,44,379,334802,77262,103016,0.09719413716083158,0.0914606227106227,0.09192535901625247,0.04861963887751854,0.8410700236034618,0.12271865869376208,0.9012689311096505
IBM HI-Small,account_node_classification,GraphSAGE,45,138,334802,77262,103016,0.0885307429076057,0.08663799968147794,0.08571542478969821,0.04514530488829162,0.8457907159716759,0.09824006012410347,0.8915743718222449
IBM HI-Small,account_node_classification,GraphSAGE,46,85,334802,77262,103016,0.08719707867655195,0.08600886799508521,0.08528581089144358,0.044913691972515504,0.8434303697875688,0.09121025622873276,0.8867436560114127
IBM HI-Small,account_node_classification,GATv2,42,92,334802,77262,103016,0.060489820005901446,0.060386879730866275,0.05961194791932602,0.03106602361549975,0.7348544453186467,0.08809951137345606,0.8183817483264787
IBM HI-Small,account_node_classification,GATv2,43,20,334802,77262,103016,0.05041305320705879,0.051147678440415054,0.04807238394964595,0.025301254710339973,0.48072383949645947,0.029792669591757255,0.7367028283285929
IBM HI-Small,account_node_classification,GATv2,44,28,334802,77262,103016,0.05422216079062466,0.05475040257648953,0.053314536541603924,0.02778891115564462,0.6546026750590087,0.032299714921418414,0.7736956203934497
IBM HI-Small,account_node_classification,GATv2,45,164,334802,77262,103016,0.0671493452517197,0.06730322580645161,0.06545539249941766,0.034426430350798384,0.6632572777340676,0.07797935330492364,0.8233617435545173
IBM HI-Small,account_node_classification,GATv2,46,207,334802,77262,103016,0.049053536174660316,0.04923179692718771,0.04958719291180024,0.025613022336635722,0.7749803304484658,0.04326681504194897,0.7718603910154892
