dataset,feature_setting,seed,model,precision,recall,f1,f1_micro_avg
Elliptic,tx+agg,42,GCN,0.798,0.497,0.612,0.94
Elliptic,tx+agg,43,GCN,0.821,0.481,0.607,0.938
Elliptic,tx+agg,44,GCN,0.798,0.465,0.588,0.936
Elliptic,tx+agg,45,GCN,0.785,0.509,0.617,0.938
Elliptic,tx+agg,46,GCN,0.811,0.496,0.616,0.936
Elliptic,tx+agg,42,GAT,0.809,0.738,0.772,0.958
Elliptic,tx+agg,43,GAT,0.826,0.731,0.776,0.958
Elliptic,tx+agg,44,GAT,0.815,0.699,0.753,0.955
Elliptic,tx+agg,45,GAT,0.826,0.743,0.782,0.96
Elliptic,tx+agg,46,GAT,0.827,0.706,0.762,0.955
Elliptic,tx+agg,42,GraphSAGE,0.941,0.84,0.887,0.98
Elliptic,tx+agg,43,GraphSAGE,0.943,0.805,0.869,0.976
Elliptic,tx+agg,44,GraphSAGE,0.946,0.808,0.872,0.977
Elliptic,tx+agg,45,GraphSAGE,0.941,0.828,0.881,0.978
Elliptic,tx+agg,46,GraphSAGE,0.953,0.804,0.872,0.976
Elliptic,tx+agg,42,ChebNet,0.956,0.861,0.906,0.983
Elliptic,tx+agg,43,ChebNet,0.951,0.845,0.895,0.98
Elliptic,tx+agg,44,ChebNet,0.957,0.839,0.894,0.98
Elliptic,tx+agg,45,ChebNet,0.947,0.856,0.899,0.981
Elliptic,tx+agg,46,ChebNet,0.959,0.836,0.893,0.979
Elliptic,tx+agg,42,GATv2,0.874,0.865,0.87,0.975
Elliptic,tx+agg,43,GATv2,0.913,0.839,0.874,0.976
Elliptic,tx+agg,44,GATv2,0.89,0.834,0.861,0.973
Elliptic,tx+agg,45,GATv2,0.882,0.856,0.869,0.975
Elliptic,tx+agg,46,GATv2,0.9,0.842,0.87,0.974
