dataset,task,model,seed,best_epoch,train_samples,val_samples,test_samples,train_f1,val_f1,test_f1,test_precision,test_recall,test_pr_auc,test_roc_auc
SAML-D,account_node_classification,GCN,42,19,556049,128319,171092,0.053744232687102045,0.05355279385257566,0.05342451116572283,0.027485615861032726,0.9493670886075949,0.13248980592359746,0.9212591629374209
SAML-D,account_node_classification,GCN,43,44,556049,128319,171092,0.05364232141962282,0.053397590361445785,0.053251760276576104,0.027409767641194776,0.9310126582278481,0.12747914795312104,0.9159343690839108
SAML-D,account_node_classification,GCN,44,11,556049,128319,171092,0.19320688134097927,0.1925548684370074,0.19506928198668347,0.11369834277323264,0.6860759493670886,0.12397400453168714,0.9294457813673324
SAML-D,account_node_classification,GCN,45,13,556049,128319,171092,0.19673056568270023,0.19868095630667765,0.19704887795880727,0.11214135759272219,0.8113924050632911,0.1292567253330419,0.9334808229849378
SAML-D,account_node_classification,GCN,46,17,556049,128319,171092,0.18692754040186063,0.18794774546986937,0.18731401722787783,0.10688114387846291,0.7569620253164557,0.13055632098016046,0.935223664759778
SAML-D,account_node_classification,GraphSAGE,42,6,556049,128319,171092,0.34332116975895566,0.3502157619804679,0.3437447803574411,0.23349217154526888,0.6512658227848102,0.13061460468653868,0.8639704888522882
SAML-D,account_node_classification,GraphSAGE,43,6,556049,128319,171092,0.34282776349614397,0.3502953203089505,0.3429144385026738,0.2329700272479564,0.649367088607595,0.12417939532589549,0.8421386619281203
SAML-D,account_node_classification,GraphSAGE,44,7,556049,128319,171092,0.34269258459323254,0.34954545454545455,0.3426374728397125,0.23279582103111515,0.6487341772151899,0.12409868982334958,0.8429207916873516
SAML-D,account_node_classification,GraphSAGE,45,4,556049,128319,171092,0.34308332904950395,0.3502953203089505,0.3434680922151687,0.2333182024512029,0.6506329113924051,0.1249164740989604,0.8487721510773146
SAML-D,account_node_classification,GraphSAGE,46,9,556049,128319,171092,0.34269258459323254,0.34954545454545455,0.3426374728397125,0.23279582103111515,0.6487341772151899,0.12772497295545837,0.7993025026121149
SAML-D,account_node_classification,GATv2,42,1,556049,128319,171092,0.0,0.0,0.0,0.0,0.0,0.009342420014856119,0.49442877835167637
SAML-D,account_node_classification,GATv2,43,1,556049,128319,171092,0.018307655572305796,0.018300593031875464,0.018300593031875464,0.00923479765272485,1.0,0.009616368080626459,0.4868718192386663
SAML-D,account_node_classification,GATv2,44,2,556049,128319,171092,0.018307655572305796,0.018300593031875464,0.018300593031875464,0.00923479765272485,1.0,0.011411994977863407,0.5196588860293525
SAML-D,account_node_classification,GATv2,45,2,556049,128319,171092,0.018307655572305796,0.018300593031875464,0.018300593031875464,0.00923479765272485,1.0,0.00953244452172071,0.49077860176136295
SAML-D,account_node_classification,GATv2,46,4,556049,128319,171092,0.018307655572305796,0.018300593031875464,0.018300593031875464,0.00923479765272485,1.0,0.009952581945630541,0.49616026773206306
