dataset,task,model,seed,best_epoch,early_stop_metric,best_val_pr_auc,best_threshold,coalesced_edges,train_samples,val_samples,test_samples,train_f1,val_f1,test_f1,test_f1_at_0_5,test_precision,test_recall,test_pr_auc,test_roc_auc
SAML-D,account_node_classification,GCN,42,3,val_pr_auc,0.16417787988092097,0.6207407116889954,True,556049,128319,171092,0.3915537771778431,0.39538855678906915,0.3935091277890467,0.018300593031875464,0.2611306688755436,0.7981012658227848,0.17013605069258114,0.8782323352933902
SAML-D,account_node_classification,GCN,43,3,val_pr_auc,0.16340985807366462,0.6802991032600403,True,556049,128319,171092,0.39170884550494095,0.395045910740978,0.39300764788512565,0.018300593031875464,0.26082452869276984,0.7968354430379747,0.1685350124470208,0.8723900469911843
SAML-D,account_node_classification,GCN,44,3,val_pr_auc,0.1641481501211149,0.6224385499954224,True,556049,128319,171092,0.391631315079059,0.39538855678906915,0.39325842696629215,0.018300593031875464,0.2609776304888152,0.7974683544303798,0.1701936810482636,0.8702152168309207
SAML-D,account_node_classification,GCN,45,5,val_pr_auc,0.1644704751273251,0.5508198738098145,True,556049,128319,171092,0.3905451037144235,0.3943601794488357,0.3920037482430111,0.018300593031875464,0.26021148662658095,0.7943037974683544,0.17021792558007628,0.8296237195559435
SAML-D,account_node_classification,GCN,46,11,val_pr_auc,0.16184312950478494,0.7677229642868042,True,556049,128319,171092,0.3914762318002121,0.3947874385814997,0.39300764788512565,0.018300593031875464,0.26082452869276984,0.7968354430379747,0.16675411267356968,0.8800436050679508
SAML-D,account_node_classification,GraphSAGE,42,7,val_pr_auc,0.13722754989904193,0.4397490620613098,True,556049,128319,171092,0.36092864664293234,0.3659725299069561,0.3639616197755733,0.33719952933266095,0.2449113591595535,0.7082278481012658,0.13705736288324638,0.8656798652393677
SAML-D,account_node_classification,GraphSAGE,43,23,val_pr_auc,0.13958446385018486,0.3643140494823456,True,556049,128319,171092,0.3615931579732485,0.36802810715854195,0.3633725616637111,0.34186318782405084,0.24378109452736318,0.7132911392405064,0.13810111524885904,0.8675117731853942
SAML-D,account_node_classification,GraphSAGE,44,19,val_pr_auc,0.1394215523016436,0.3843216300010681,True,556049,128319,171092,0.36219609406137904,0.3686412684430742,0.3644300727566694,0.3399765533411489,0.2447339847991314,0.7132911392405064,0.13820313333787793,0.8675272849508135
SAML-D,account_node_classification,GraphSAGE,45,10,val_pr_auc,0.1383781044508079,0.43216317892074585,True,556049,128319,171092,0.3609337589784517,0.36723910171730517,0.36372453928225024,0.3393695506371563,0.2442466348241424,0.7120253164556962,0.13731815053369778,0.867040071021446
SAML-D,account_node_classification,GraphSAGE,46,70,val_pr_auc,0.13421387682166291,0.3420719504356384,True,556049,128319,171092,0.3568607594936709,0.36310723080367135,0.3597169656080303,0.3423604145770645,0.2430509228374472,0.6917721518987342,0.1331948417131363,0.8596316787400438
SAML-D,account_node_classification,GATv2,42,61,val_pr_auc,0.09657350380988657,0.39112529158592224,True,556049,128319,171092,0.3013229275720948,0.313439244310863,0.3072080579162732,0.0,0.3055729492798998,0.30886075949367087,0.0928204033376438,0.6416880329147377
SAML-D,account_node_classification,GATv2,43,32,val_pr_auc,0.11534022773603934,0.4129962623119354,True,556049,128319,171092,0.32458697764820216,0.3371320037986705,0.32248939179632247,0.0,0.36538461538461536,0.28860759493670884,0.10575245294923422,0.6252881615192024
SAML-D,account_node_classification,GATv2,44,124,val_pr_auc,0.12288422064781462,0.3985575735569,True,556049,128319,171092,0.34462320067739205,0.36656671664167917,0.3415977961432507,0.0,0.3024390243902439,0.3924050632911392,0.10989467232139388,0.6937722156707773
SAML-D,account_node_classification,GATv2,45,46,val_pr_auc,0.09494814868175899,0.4094042181968689,True,556049,128319,171092,0.31034786437692646,0.3162827020695041,0.3215507411630559,0.0,0.2925311203319502,0.3569620253164557,0.0988314918140748,0.6527087623384714
SAML-D,account_node_classification,GATv2,46,106,val_pr_auc,0.13781540527569752,0.411143958568573,True,556049,128319,171092,0.3503768115942029,0.3640040444893832,0.34858223062381855,0.0,0.4328638497652582,0.2917721518987342,0.12804662122238725,0.6212029460891757
